,Car
401,3.0
402,2.0
403,2.0
404,2.0
405,2.0
406,2.0
407,1.0
408,1.0
409,1.0
410,2.0
411,2.0
412,2.0
413,2.0
414,2.0
415,2.0
416,4.0
417,1.0
418,2.0
419,1.0
420,2.0
421,2.0
422,1.0
423,3.0
424,1.0
425,2.0
426,2.0
427,1.0
428,1.0
429,1.0
430,2.0
431,2.0
432,1.0
433,1.0
434,1.0
435,1.0
436,2.0
437,2.0
438,2.0
439,1.0
440,1.0
441,1.0
442,2.0
443,1.0
444,2.0
445,2.0
446,4.0
447,2.0
448,2.0
449,2.0
450,1.0
451,1.0
452,2.0
453,3.0
454,3.0
455,1.0
456,3.0
457,4.0
458,1.0
459,1.0
460,2.0
461,3.0
462,2.0
463,1.0
464,2.0
465,4.0
466,1.0
467,2.0
468,1.0
469,2.0
470,1.0
471,2.0
472,1.0
473,2.0
474,2.0
475,3.0
476,8.0
477,1.0
478,2.0
479,1.0
480,2.0
481,0.0
482,2.0
483,4.0
484,1.0
485,1.0
486,1.0
487,3.0
488,2.0
489,1.0
490,2.0
491,1.0
492,2.0
493,1.0
494,0.0
495,1.0
496,1.0
497,1.0
498,1.0
499,1.0
500,0.0
501,2.0
502,1.0
503,1.0
504,0.0
505,0.0
506,1.0
507,2.0
508,1.0
509,2.0
510,2.0
511,2.0
512,2.0
513,2.0
514,1.0
515,7.0
516,2.0
517,2.0
518,1.0
519,2.0
520,1.0
521,2.0
522,1.0
523,2.0
524,1.0
525,1.0
526,1.0
527,2.0
528,1.0
529,2.0
530,2.0
531,1.0
532,1.0
533,1.0
534,2.0
535,2.0
536,1.0
537,4.0
538,2.0
539,2.0
540,2.0
541,2.0
542,4.0
543,1.0
544,1.0
545,4.0
546,2.0
547,2.0
548,1.0
549,2.0
550,2.0
551,2.0
552,2.0
553,2.0
554,2.0
555,1.0
556,2.0
557,4.0
558,2.0
559,1.0
560,2.0
561,2.0
562,2.0
563,2.0
564,1.0
565,1.0
566,1.0
567,4.0
568,2.0
569,2.0
570,1.0
571,1.0
572,3.0
573,3.0
574,1.0
575,2.0
576,2.0
577,2.0
578,2.0
579,1.0
580,6.0
581,2.0
582,1.0
583,1.0
584,0.0
585,2.0
586,1.0
587,3.0
588,1.0
589,0.0
590,2.0
591,2.0
592,2.0
593,2.0
594,2.0
595,1.0
596,3.0
597,2.0
598,2.0
599,2.0
600,3.0
601,4.0
602,1.0
603,2.0
604,3.0
605,1.0
606,2.0
607,2.0
608,2.0
609,2.0
610,1.0
611,2.0
612,2.0
613,2.0
614,2.0
615,2.0
616,2.0
617,2.0
618,2.0
619,2.0
620,1.0
621,2.0
622,4.0
623,2.0
624,1.0
625,2.0
626,2.0
627,1.0
628,2.0
629,2.0
630,1.0
631,2.0
632,3.0
633,2.0
634,1.0
635,1.0
636,3.0
637,2.0
638,2.0
639,2.0
640,4.0
641,2.0
642,1.0
643,2.0
644,2.0
645,1.0
646,1.0
647,2.0
648,2.0
649,2.0
650,4.0
651,2.0
652,2.0
653,1.0
654,1.0
655,4.0
656,4.0
657,2.0
658,2.0
659,2.0
660,3.0
661,4.0
662,1.0
663,6.0
664,2.0
665,2.0
666,2.0
667,4.0
668,2.0
669,1.0
670,1.0
671,2.0
672,2.0
673,2.0
674,2.0
675,2.0
676,5.0
677,2.0
678,0.0
679,1.0
680,2.0
681,2.0
682,3.0
683,0.0
684,1.0
685,2.0
686,2.0
687,2.0
688,3.0
689,2.0
690,2.0
691,1.0
692,1.0
693,2.0
694,2.0
695,2.0
696,2.0
697,2.0
698,4.0
699,4.0
700,2.0
701,1.0
702,2.0
703,2.0
704,2.0
705,1.0
706,2.0
707,4.0
708,1.0
709,1.0
710,2.0
711,2.0
712,2.0
713,1.0
714,2.0
715,1.0
716,2.0
717,2.0
718,1.0
719,2.0
720,1.0
721,2.0
722,4.0
723,2.0
724,1.0
725,2.0
726,1.0
727,4.0
728,2.0
729,2.0
730,0.0
731,3.0
732,1.0
733,2.0
734,3.0
735,1.0
736,1.0
737,2.0
738,1.0
739,2.0
740,3.0
741,2.0
742,2.0
743,2.0
744,1.0
745,2.0
746,2.0
747,1.0
748,2.0
749,1.0
750,2.0
751,1.0
752,2.0
753,2.0
754,2.0
755,2.0
756,3.0
757,4.0
758,3.0
759,3.0
760,2.0
761,1.0
762,2.0
763,2.0
764,2.0
765,1.0
766,2.0
767,4.0
768,2.0
769,2.0
770,2.0
771,2.0
772,1.0
773,1.0
774,3.0
775,2.0
776,2.0
777,2.0
778,5.0
779,2.0
780,2.0
781,1.0
782,2.0
783,1.0
784,2.0
785,1.0
786,1.0
787,2.0
788,2.0
789,1.0
790,2.0
791,1.0
792,2.0
793,2.0
794,2.0
795,3.0
796,1.0
797,2.0
798,1.0
799,4.0
800,1.0
801,1.0
802,2.0
803,2.0
804,2.0
805,2.0
806,2.0
807,2.0
808,2.0
809,2.0
810,3.0
811,2.0
812,2.0
813,4.0
814,1.0
815,1.0
816,2.0
817,4.0
818,2.0
819,1.0
820,1.0
821,3.0
822,2.0
823,1.0
824,1.0
825,2.0
826,4.0
827,2.0
828,1.0
829,1.0
830,1.0
831,1.0
832,2.0
833,2.0
834,1.0
835,2.0
836,1.0
837,2.0
838,4.0
839,2.0
840,2.0
841,1.0
842,1.0
843,2.0
844,1.0
845,2.0
846,1.0
847,2.0
848,4.0
849,2.0
850,1.0
851,1.0
852,1.0
853,3.0
854,1.0
855,4.0
856,1.0
857,4.0
858,2.0
859,2.0
860,1.0
861,2.0
862,1.0
863,2.0
864,1.0
865,2.0
866,2.0
867,2.0
868,2.0
869,2.0
870,1.0
871,2.0
872,2.0
873,1.0
874,4.0
875,2.0
876,2.0
877,1.0
878,2.0
879,1.0
880,3.0
881,2.0
882,1.0
883,2.0
884,2.0
885,2.0
886,2.0
887,2.0
888,2.0
889,2.0
890,2.0
891,1.0
892,1.0
893,1.0
894,2.0
895,1.0
896,2.0
897,1.0
898,3.0
899,2.0
900,2.0
901,1.0
902,1.0
903,2.0
904,2.0
905,2.0
906,2.0
907,1.0
908,2.0
909,2.0
910,2.0
911,1.0
912,1.0
913,0.0
914,2.0
915,2.0
916,1.0
917,2.0
918,1.0
919,2.0
920,1.0
921,3.0
922,3.0
923,2.0
924,2.0
925,1.0
926,6.0
927,1.0
928,2.0
929,1.0
930,2.0
931,1.0
932,2.0
933,3.0
934,2.0
935,1.0
936,2.0
937,1.0
938,1.0
939,1.0
940,2.0
941,1.0
942,2.0
943,1.0
944,2.0
945,2.0
946,2.0
947,2.0
948,2.0
949,2.0
950,2.0
951,2.0
952,2.0
953,2.0
954,1.0
955,1.0
956,1.0
957,1.0
958,3.0
959,2.0
960,1.0
961,2.0
962,1.0
963,1.0
964,2.0
965,2.0
966,2.0
967,1.0
968,2.0
969,2.0
970,1.0
971,1.0
972,2.0
973,3.0
974,2.0
975,2.0
976,0.0
977,1.0
978,2.0
979,2.0
980,1.0
981,1.0
982,2.0
983,1.0
984,1.0
985,1.0
986,2.0
987,1.0
988,1.0
989,2.0
990,2.0
991,1.0
992,3.0
993,4.0
994,1.0
995,2.0
996,1.0
997,1.0
998,1.0
999,2.0
1000,0.0
1001,2.0
1002,1.0
1003,1.0
1004,2.0
1005,2.0
1006,1.0
1007,1.0
1008,1.0
1009,1.0
1010,4.0
1011,1.0
1012,1.0
1013,1.0
1014,0.0
1015,4.0
1016,1.0
1017,1.0
1018,2.0
1019,1.0
1020,3.0
1021,2.0
1022,2.0
1023,2.0
1024,2.0
1025,2.0
1026,1.0
1027,0.0
1028,1.0
1029,1.0
1030,2.0
1031,2.0
1032,1.0
1033,1.0
1034,1.0
1035,2.0
1036,1.0
1037,1.0
1038,1.0
1039,1.0
1040,2.0
1041,2.0
1042,2.0
1043,2.0
1044,2.0
1045,2.0
1046,2.0
1047,2.0
1048,1.0
1049,2.0
1050,2.0
1051,1.0
1052,2.0
1053,2.0
1054,2.0
1055,2.0
1056,2.0
1057,3.0
1058,1.0
1059,2.0
1060,3.0
1061,3.0
1062,2.0
1063,0.0
1064,1.0
1065,2.0
1066,1.0
1067,2.0
1068,4.0
1069,2.0
1070,1.0
1071,2.0
1072,1.0
1073,1.0
1074,2.0
1075,0.0
1076,1.0
1077,2.0
1078,1.0
1079,2.0
1080,2.0
1081,2.0
1082,6.0
1083,2.0
1084,2.0
1085,3.0
1086,2.0
1087,2.0
1088,2.0
1089,1.0
1090,2.0
1091,1.0
1092,0.0
1093,2.0
1094,2.0
1095,1.0
1096,2.0
1097,2.0
1098,2.0
1099,2.0
1100,2.0
1101,2.0
1102,1.0
1103,2.0
1104,2.0
1105,1.0
1106,1.0
1107,1.0
1108,2.0
1109,1.0
1110,1.0
1111,2.0
1112,1.0
1113,2.0
1114,1.0
1115,2.0
1116,2.0
1117,2.0
1118,1.0
1119,1.0
1120,2.0
1121,4.0
1122,4.0
1123,1.0
1124,2.0
1125,2.0
1126,1.0
1127,2.0
1128,1.0
1129,1.0
1130,1.0
1131,2.0
1132,0.0
1133,1.0
1134,2.0
1135,2.0
1136,2.0
1137,2.0
1138,2.0
1139,2.0
1140,2.0
1141,2.0
1142,2.0
1143,2.0
1144,1.0
1145,1.0
1146,2.0
1147,1.0
1148,2.0
1149,0.0
1150,2.0
1151,2.0
1152,2.0
1153,2.0
1154,1.0
1155,2.0
1156,2.0
1157,2.0
1158,1.0
1159,2.0
1160,1.0
1161,2.0
1162,2.0
1163,1.0
1164,2.0
1165,2.0
1166,2.0
1167,1.0
1168,3.0
1169,2.0
1170,1.0
1171,1.0
1172,2.0
1173,2.0
1174,1.0
1175,4.0
1176,2.0
1177,2.0
1178,2.0
1179,2.0
1180,2.0
1181,3.0
1182,3.0
1183,2.0
1184,2.0
1185,5.0
1186,1.0
1187,2.0
1188,2.0
1189,2.0
1190,2.0
1191,2.0
1192,2.0
1193,2.0
1194,2.0
1195,4.0
1196,1.0
1197,2.0
1198,3.0
1199,2.0
1200,1.0
1201,2.0
1202,2.0
1203,2.0
1204,0.0
1205,2.0
1206,1.0
1207,2.0
1208,4.0
1209,2.0
1210,2.0
1211,2.0
1212,2.0
1213,2.0
1214,3.0
1215,4.0
1216,3.0
1217,2.0
1218,1.0
1219,2.0
1220,2.0
1221,2.0
1222,2.0
1223,2.0
1224,2.0
1225,2.0
1226,2.0
1227,2.0
1228,4.0
1229,2.0
1230,2.0
1231,2.0
1232,1.0
1233,2.0
1234,2.0
1235,1.0
1236,2.0
1237,1.0
1238,2.0
1239,2.0
1240,1.0
1241,2.0
1242,1.0
1243,4.0
1244,2.0
1245,2.0
1246,2.0
1247,2.0
1248,1.0
1249,1.0
1250,2.0
1251,2.0
1252,1.0
1253,1.0
1254,2.0
1255,0.0
1256,1.0
1257,1.0
1258,3.0
1259,2.0
1260,1.0
1261,1.0
1262,1.0
1263,1.0
1264,0.0
1265,2.0
1266,1.0
1267,1.0
1268,1.0
1269,1.0
1270,1.0
1271,1.0
1272,1.0
1273,1.0
1274,2.0
1275,2.0
1276,2.0
1277,0.0
1278,1.0
1279,1.0
1280,1.0
1281,1.0
1282,0.0
1283,1.0
1284,1.0
1285,1.0
1286,1.0
1287,0.0
1288,3.0
1289,1.0
1290,1.0
1291,2.0
1292,0.0
1293,2.0
1294,1.0
1295,1.0
1296,1.0
1297,0.0
1298,1.0
1299,1.0
1300,1.0
1301,0.0
1302,1.0
1303,1.0
1304,1.0
1305,1.0
1306,1.0
1307,0.0
1308,1.0
1309,3.0
1310,1.0
1311,1.0
1312,1.0
1313,2.0
1314,1.0
1315,2.0
1316,1.0
1317,2.0
1318,1.0
1319,1.0
1320,3.0
1321,0.0
1322,1.0
1323,1.0
1324,6.0
1325,2.0
1326,1.0
1327,4.0
1328,0.0
1329,1.0
1330,1.0
1331,1.0
1332,1.0
1333,1.0
1334,3.0
1335,2.0
1336,1.0
1337,1.0
1338,1.0
1339,1.0
1340,1.0
1341,2.0
1342,1.0
1343,1.0
1344,1.0
1345,2.0
1346,1.0
1347,1.0
1348,0.0
1349,0.0
1350,1.0
1351,0.0
1352,1.0
1353,1.0
1354,1.0
1355,0.0
1356,1.0
1357,1.0
1358,1.0
1359,0.0
1360,1.0
1361,2.0
1362,1.0
1363,0.0
1364,1.0
1365,1.0
1366,0.0
1367,2.0
1368,1.0
1369,1.0
1370,1.0
1371,2.0
1372,0.0
1373,3.0
1374,1.0
1375,1.0
1376,1.0
1377,1.0
1378,1.0
1379,2.0
1380,2.0
1381,1.0
1382,1.0
1383,1.0
1384,1.0
1385,1.0
1386,1.0
1387,1.0
1388,1.0
1389,2.0
1390,1.0
1391,1.0
1392,1.0
1393,1.0
1394,0.0
1395,1.0
1396,2.0
1397,1.0
1398,2.0
1399,1.0
1400,0.0
1401,2.0
1402,1.0
1403,0.0
1404,2.0
1405,1.0
1406,0.0
1407,1.0
1408,1.0
1409,2.0
1410,1.0
1411,2.0
1412,2.0
1413,2.0
1414,2.0
1415,1.0
1416,1.0
1417,1.0
1418,1.0
1419,1.0
1420,1.0
1421,1.0
1422,4.0
1423,3.0
1424,1.0
1425,1.0
1426,1.0
1427,1.0
1428,1.0
1429,1.0
1430,1.0
1431,1.0
1432,1.0
1433,3.0
1434,1.0
1435,2.0
1436,1.0
1437,1.0
1438,2.0
1439,4.0
1440,2.0
1441,1.0
1442,2.0
1443,1.0
1444,1.0
1445,2.0
1446,1.0
1447,1.0
1448,1.0
1449,2.0
1450,2.0
1451,1.0
1452,2.0
1453,1.0
1454,1.0
1455,2.0
1456,1.0
1457,1.0
1458,2.0
1459,2.0
1460,2.0
1461,2.0
1462,2.0
1463,2.0
1464,2.0
1465,2.0
1466,3.0
1467,2.0
1468,1.0
1469,2.0
1470,2.0
1471,1.0
1472,2.0
1473,2.0
1474,2.0
1475,2.0
1476,2.0
1477,2.0
1478,2.0
1479,2.0
1480,3.0
1481,1.0
1482,1.0
1483,2.0
1484,2.0
1485,1.0
1486,2.0
1487,2.0
1488,2.0
1489,1.0
1490,3.0
1491,2.0
1492,2.0
1493,1.0
1494,1.0
1495,1.0
1496,2.0
1497,2.0
1498,2.0
1499,2.0
1500,3.0
1501,0.0
1502,1.0
1503,2.0
1504,2.0
1505,2.0
1506,2.0
1507,2.0
1508,2.0
1509,2.0
1510,2.0
1511,1.0
1512,1.0
1513,1.0
1514,2.0
1515,1.0
1516,1.0
1517,2.0
1518,2.0
1519,1.0
1520,1.0
1521,2.0
1522,2.0
1523,2.0
1524,2.0
1525,1.0
1526,2.0
1527,2.0
1528,4.0
1529,1.0
1530,2.0
1531,2.0
1532,2.0
1533,2.0
1534,2.0
1535,1.0
1536,2.0
1537,2.0
1538,2.0
1539,2.0
1540,2.0
1541,2.0
1542,1.0
1543,1.0
1544,2.0
1545,2.0
1546,2.0
1547,2.0
1548,3.0
1549,1.0
1550,2.0
1551,1.0
1552,1.0
1553,1.0
1554,1.0
1555,1.0
1556,2.0
1557,2.0
1558,2.0
1559,1.0
1560,1.0
1561,2.0
1562,4.0
1563,2.0
1564,1.0
1565,2.0
1566,1.0
1567,1.0
1568,1.0
1569,1.0
1570,2.0
1571,4.0
1572,2.0
1573,2.0
1574,1.0
1575,1.0
1576,1.0
1577,2.0
1578,2.0
1579,2.0
1580,1.0
1581,2.0
1582,1.0
1583,1.0
1584,1.0
1585,1.0
1586,2.0
1587,1.0
1588,4.0
1589,1.0
1590,2.0
1591,1.0
1592,0.0
1593,0.0
1594,1.0
1595,1.0
1596,2.0
1597,1.0
1598,2.0
1599,2.0
1600,2.0
1601,1.0
1602,2.0
1603,1.0
1604,2.0
1605,4.0
1606,1.0
1607,1.0
1608,2.0
1609,2.0
1610,1.0
1611,4.0
1612,2.0
1613,1.0
1614,2.0
1615,2.0
1616,3.0
1617,2.0
1618,1.0
1619,2.0
1620,1.0
1621,1.0
1622,2.0
1623,4.0
1624,1.0
1625,1.0
1626,1.0
1627,1.0
1628,2.0
1629,2.0
1630,2.0
1631,1.0
1632,4.0
1633,1.0
1634,1.0
1635,2.0
1636,2.0
1637,1.0
1638,4.0
1639,1.0
1640,1.0
1641,1.0
1642,2.0
1643,2.0
1644,1.0
1645,1.0
1646,3.0
1647,1.0
1648,4.0
1649,3.0
1650,1.0
1651,1.0
1652,4.0
1653,2.0
1654,2.0
1655,1.0
1656,4.0
1657,1.0
1658,4.0
1659,1.0
1660,2.0
1661,2.0
1662,2.0
1663,1.0
1664,3.0
1665,2.0
1666,2.0
1667,2.0
1668,2.0
1669,2.0
1670,1.0
1671,0.0
1672,0.0
1673,1.0
1674,0.0
1675,2.0
1676,0.0
1677,1.0
1678,1.0
1679,0.0
1680,0.0
1681,1.0
1682,0.0
1683,1.0
1684,0.0
1685,2.0
1686,1.0
1687,1.0
1688,1.0
1689,0.0
1690,0.0
1691,1.0
1692,0.0
1693,2.0
1694,1.0
1695,1.0
1696,2.0
1697,1.0
1698,1.0
1699,2.0
1700,1.0
1701,1.0
1702,2.0
1703,0.0
1704,1.0
1705,1.0
1706,1.0
1707,1.0
1708,1.0
1709,1.0
1710,1.0
1711,2.0
1712,2.0
1713,1.0
1714,2.0
1715,1.0
1716,1.0
1717,1.0
1718,2.0
1719,2.0
1720,1.0
1721,1.0
1722,2.0
1723,2.0
1724,1.0
1725,1.0
1726,1.0
1727,1.0
1728,1.0
1729,2.0
1730,2.0
1731,1.0
1732,1.0
1733,1.0
1734,2.0
1735,1.0
1736,2.0
1737,1.0
1738,1.0
1739,1.0
1740,1.0
1741,1.0
1742,2.0
1743,1.0
1744,1.0
1745,2.0
1746,1.0
1747,1.0
1748,1.0
1749,1.0
1750,1.0
1751,2.0
1752,1.0
1753,2.0
1754,1.0
1755,1.0
1756,1.0
1757,1.0
1758,1.0
1759,1.0
1760,2.0
1761,1.0
1762,1.0
1763,4.0
1764,1.0
1765,2.0
1766,1.0
1767,2.0
1768,1.0
1769,1.0
1770,1.0
1771,2.0
1772,2.0
1773,1.0
1774,1.0
1775,3.0
1776,1.0
1777,2.0
1778,1.0
1779,1.0
1780,1.0
1781,1.0
1782,3.0
1783,2.0
1784,2.0
1785,1.0
1786,1.0
1787,1.0
1788,2.0
1789,1.0
1790,1.0
1791,2.0
1792,1.0
1793,1.0
1794,1.0
1795,1.0
1796,1.0
1797,1.0
1798,1.0
1799,1.0
1800,2.0
1801,2.0
1802,1.0
1803,1.0
1804,1.0
1805,2.0
1806,2.0
1807,0.0
1808,2.0
1809,1.0
1810,3.0
1811,1.0
1812,1.0
1813,1.0
1814,1.0
1815,1.0
1816,1.0
1817,0.0
1818,2.0
1819,2.0
1820,1.0
1821,1.0
1822,1.0
1823,1.0
1824,3.0
1825,2.0
1826,1.0
1827,1.0
1828,2.0
1829,2.0
1830,1.0
1831,1.0
1832,2.0
1833,1.0
1834,1.0
1835,1.0
1836,1.0
1837,1.0
1838,2.0
1839,2.0
1840,2.0
1841,1.0
1842,2.0
1843,1.0
1844,4.0
1845,1.0
1846,2.0
1847,1.0
1848,3.0
1849,2.0
1850,1.0
1851,1.0
1852,2.0
1853,2.0
1854,1.0
1855,1.0
1856,1.0
1857,2.0
1858,2.0
1859,1.0
1860,1.0
1861,2.0
1862,2.0
1863,1.0
1864,2.0
1865,2.0
1866,2.0
1867,1.0
1868,2.0
1869,2.0
1870,2.0
1871,2.0
1872,2.0
1873,1.0
1874,1.0
1875,2.0
1876,1.0
1877,2.0
1878,1.0
1879,1.0
1880,0.0
1881,1.0
1882,0.0
1883,1.0
1884,0.0
1885,1.0
1886,1.0
1887,1.0
1888,2.0
1889,2.0
1890,0.0
1891,0.0
1892,0.0
1893,1.0
1894,1.0
1895,1.0
1896,2.0
1897,1.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,2.0
1903,1.0
1904,1.0
1905,1.0
1906,1.0
1907,0.0
1908,0.0
1909,1.0
1910,0.0
1911,1.0
1912,1.0
1913,1.0
1914,0.0
1915,2.0
1916,1.0
1917,2.0
1918,1.0
1919,2.0
1920,1.0
1921,2.0
1922,1.0
1923,1.0
1924,3.0
1925,2.0
1926,4.0
1927,1.0
1928,1.0
1929,1.0
1930,1.0
1931,1.0
1932,2.0
1933,1.0
1934,1.0
1935,1.0
1936,2.0
1937,1.0
1938,1.0
1939,1.0
1940,0.0
1941,1.0
1942,2.0
1943,1.0
1944,1.0
1945,1.0
1946,1.0
1947,1.0
1948,2.0
1949,1.0
1950,2.0
1951,2.0
1952,2.0
1953,1.0
1954,2.0
1955,2.0
1956,2.0
1957,1.0
1958,1.0
1959,1.0
1960,4.0
1961,1.0
1962,1.0
1963,3.0
1964,2.0
1965,1.0
1966,2.0
1967,1.0
1968,1.0
1969,1.0
1970,1.0
1971,2.0
1972,2.0
1973,2.0
1974,2.0
1975,5.0
1976,1.0
1977,1.0
1978,0.0
1979,0.0
1980,3.0
1981,1.0
1982,2.0
1983,1.0
1984,1.0
1985,1.0
1986,2.0
1987,1.0
1988,2.0
1989,0.0
1990,1.0
1991,3.0
1992,1.0
1993,1.0
1994,1.0
1995,1.0
1996,3.0
1997,4.0
1998,1.0
1999,3.0
2000,1.0
2001,3.0
2002,2.0
2003,4.0
2004,1.0
2005,1.0
2006,2.0
2007,2.0
2008,2.0
2009,2.0
2010,1.0
2011,1.0
2012,0.0
2013,1.0
2014,1.0
2015,2.0
2016,1.0
2017,1.0
2018,0.0
2019,1.0
2020,2.0
2021,1.0
2022,1.0
2023,1.0
2024,1.0
2025,2.0
2026,1.0
2027,1.0
2028,2.0
2029,0.0
2030,1.0
2031,1.0
2032,1.0
2033,0.0
2034,2.0
2035,1.0
2036,1.0
2037,2.0
2038,0.0
2039,1.0
2040,1.0
2041,3.0
2042,2.0
2043,1.0
2044,2.0
2045,2.0
2046,2.0
2047,1.0
2048,3.0
2049,2.0
2050,2.0
2051,3.0
2052,2.0
2053,3.0
2054,2.0
2055,2.0
2056,4.0
2057,2.0
2058,3.0
2059,1.0
2060,3.0
2061,1.0
2062,2.0
2063,2.0
2064,4.0
2065,2.0
2066,2.0
2067,3.0
2068,2.0
2069,1.0
2070,2.0
2071,1.0
2072,1.0
2073,1.0
2074,2.0
2075,2.0
2076,1.0
2077,1.0
2078,1.0
2079,1.0
2080,0.0
2081,1.0
2082,0.0
2083,2.0
2084,1.0
2085,1.0
2086,1.0
2087,1.0
2088,1.0
2089,0.0
2090,1.0
2091,1.0
2092,1.0
2093,1.0
2094,0.0
2095,1.0
2096,1.0
2097,1.0
2098,1.0
2099,2.0
2100,0.0
2101,2.0
2102,1.0
2103,1.0
2104,0.0
2105,1.0
2106,0.0
2107,0.0
2108,1.0
2109,1.0
2110,2.0
2111,1.0
2112,1.0
2113,2.0
2114,1.0
2115,1.0
2116,1.0
2117,3.0
2118,1.0
2119,1.0
2120,2.0
2121,1.0
2122,4.0
2123,0.0
2124,2.0
2125,1.0
2126,2.0
2127,2.0
2128,2.0
2129,2.0
2130,2.0
2131,2.0
2132,2.0
2133,3.0
2134,2.0
2135,2.0
2136,2.0
2137,2.0
2138,2.0
2139,2.0
2140,2.0
